Title,Accuracy,Recall,Precision,F1-score
Train (None),0.875,0.333,0.292,0.311
Test (None),0.872,0.333,0.291,0.31
Train (Random Over),0.645,0.645,0.651,0.592
Test (Random Over),0.233,0.325,0.335,0.167
Train (SMOTE),0.664,0.664,0.494,0.552
Test (SMOTE),0.124,0.344,0.046,0.081
