Title,Accuracy,Recall,Precision,F1-score
Train (None),0.893,0.437,0.772,0.483
Test (None),0.834,0.355,0.393,0.36
Train (Random Over),0.913,0.913,0.927,0.912
Test (Random Over),0.693,0.357,0.345,0.34
Train (SMOTE),0.959,0.959,0.959,0.959
Test (SMOTE),0.8,0.36,0.362,0.361
