Title,Accuracy,Recall,Precision,F1-score
Train (None),0.893,0.564,0.667,0.604
Test (None),0.789,0.361,0.358,0.359
Train (Random Over),0.913,0.913,0.927,0.912
Test (Random Over),0.685,0.358,0.345,0.339
Train (SMOTE),0.958,0.958,0.959,0.959
Test (SMOTE),0.786,0.362,0.356,0.358
