Title,Accuracy,Recall,Precision,F1-score
Train (None),0.875,0.333,0.292,0.311
Test (None),0.872,0.333,0.291,0.31
Train (Random Over),0.334,0.334,0.342,0.167
Test (Random Over),0.003,0.333,0.001,0.002
Train (SMOTE),0.334,0.334,0.711,0.167
Test (SMOTE),0.003,0.333,0.001,0.002
