Title,Accuracy,Recall,Precision,F1-score
Train (None),0.995,0.989,0.961,0.974
Test (None),0.767,0.354,0.349,0.351
Train (Random Over),0.996,0.996,0.996,0.996
Test (Random Over),0.776,0.351,0.349,0.35
Train (SMOTE),0.998,0.998,0.998,0.998
Test (SMOTE),0.727,0.373,0.348,0.347
