Title,Accuracy,Recall,Precision,F1-score
Train (None),1.0,1.0,0.999,0.999
Test (None),0.773,0.339,0.339,0.339
Train (Random Over),1.0,1.0,1.0,1.0
Test (Random Over),0.786,0.362,0.362,0.362
Train (SMOTE),1.0,1.0,1.0,1.0
Test (SMOTE),0.68,0.351,0.34,0.332
