Title,Accuracy,Recall,Precision,F1-score
Train (None),0.875,0.333,0.292,0.311
Test (None),0.872,0.333,0.291,0.31
Train (Random Over),0.628,0.628,0.611,0.603
Test (Random Over),0.396,0.318,0.333,0.247
Train (SMOTE),0.515,0.515,0.509,0.507
Test (SMOTE),0.36,0.317,0.335,0.235
