Title,Accuracy,Recall,Precision,F1-score
Train (None),0.893,0.456,0.725,0.508
Test (None),0.833,0.356,0.384,0.359
Train (Random Over),0.914,0.914,0.927,0.912
Test (Random Over),0.694,0.355,0.343,0.339
Train (SMOTE),0.958,0.958,0.959,0.958
Test (SMOTE),0.8,0.358,0.357,0.357
