Title,Accuracy,Recall,Precision,F1-score
Train (None),0.883,0.354,0.609,0.352
Test (None),0.866,0.336,0.361,0.32
Train (Random Over),0.97,0.97,0.972,0.969
Test (Random Over),0.809,0.359,0.361,0.359
Train (SMOTE),0.973,0.973,0.973,0.973
Test (SMOTE),0.825,0.357,0.362,0.355
